BlackAvg,WhiteAvg,HispanicAvg,AvgIncome,Combo,school_id,SQRPRating,SQRPRankingNumber,AccountabilityStatus,AccountabilityStatusNumber,NSAReading3-8,NSAMath3-8
0.21,0.51,0.11,41527.09156,B,610269,Level 1+,1,Good Standing,1,71,78
0.88,0.02,0.09,22181.04757,AB,610274,Level 2+,3,Good Standing,1,25,17
0.94,0.03,0.02,37532.8068,BB,610276,Level 2,4,Intensive Support,3,27,22
0.96,0.01,0.01,28172.64763,AB,610279,Level 2,4,Provisional Support,2,24,14
0.02,0.73,0.16,114249.4945,DW,610138,Level 1+,1,Good Standing,1,90,85
0.89,0.07,0.02,21591.74406,AB,610281,Level 2+,3,Good Standing,1,34,21
0.91,0.01,0.08,28571.27356,AB,610282,Level 1,2,Intensive Support,3,34,44
0.25,0.39,0.26,42963.80058,B,610284,Level 2,4,Provisional Support,2,54,43
0.34,0.07,0.58,48253.23013,B,610396,Level 1,2,Good Standing,1,73,72
0.03,0.64,0.06,29250.24277,A,610182,Level 1+,1,Good Standing,1,96,97
0.95,0,0.03,42654.87273,BB,610295,Level 2+,3,Good Standing,1,65,35
0.89,0,0.07,22550.56148,AB,610299,Level 2,4,Intensive Support,3,6,7
0.98,0.01,0,32492.09091,BB,610300,Level 2,4,Provisional Support,2,11,9
0.93,0.03,0.04,21552.19273,AB,610305,Level 2,4,Provisional Support,2,20,14
0.96,0,0.01,45051.67094,BB,610312,Level 1+,1,Good Standing,1,76,60
0.15,0.44,0.32,67473.22865,C,610313,Level 2,4,Provisional Support,2,34,15
0.95,0.01,0.02,42371.72899,BB,610315,Level 2,4,Intensive Support,3,41,26
0.98,0.01,0.01,41961.73034,BB,610316,Level 1+,1,Good Standing,1,90,84
0.95,0.01,0.03,29440.39084,AB,610339,Level 2+,3,Intensive Support,3,24,20
0.26,0.1,0.63,40342.58494,B,610021,Level 1+,1,Good Standing,1,78,83
0.16,0.47,0.25,37653.00785,B,610022,Level 1,2,Good Standing,1,58,42
0.78,0.07,0.11,39266.66627,BB,610271,Level 1,2,Provisional Support,2,28,31
0.08,0.03,0.88,33298.56312,BH,610024,Level 1+,1,Good Standing,1,57,88
0,0.57,0.42,75926.05767,C,610026,Level 1+,1,Good Standing,1,81,76
0.95,0.02,0.01,50113.07858,BB,610027,Level 2+,3,Good Standing,1,51,39
0.36,0.43,0.06,47357.0003,B,610030,Level 2+,3,Provisional Support,2,43,28
0.93,0.02,0.04,29974.07945,AB,609821,Level 1,2,Good Standing,1,62,36
0.22,0.07,0.56,40708.75491,B,609829,Level 1,2,Good Standing,1,79,78
0.88,0.03,0.08,28567.6288,AB,609830,Level 2+,3,Good Standing,1,31,33
0,0.62,0.36,73358.98621,C,609832,Level 1,2,Good Standing,1,71,67
0.99,0,0,48925.1455,BB,609833,Level 1+,1,Good Standing,1,84,57
0,0.01,0.99,32230.19673,BH,609834,Level 1,2,Good Standing,1,46,31
0.3,0.03,0.65,25246.34986,A,609835,Level 1,2,Good Standing,1,51,54
0.01,0.75,0.19,62001.87494,CW,609836,Level 1+,1,Good Standing,1,92,91
0.74,0.18,0.02,29902.49808,AB,609837,Level 1,2,Good Standing,1,82,63
0.84,0.04,0.08,76375.80255,C,609839,Level 2+,3,Good Standing,1,49,32
0.05,0.04,0.91,38380.71039,BH,609842,Level 1,2,Good Standing,1,67,68
0.98,0,0,28754.14504,AB,609844,Level 1,2,Intensive Support,3,51,46
0.89,0.05,0.05,24655.29598,AB,609845,Level 3,5,Intensive Support,3,13,6
0.94,0.04,0.02,16193.66372,AB,609848,Level 1+,1,Provisional Support,2,34,34
0.08,0.77,0.1,77634.10999,CW,609849,Level 2+,3,Good Standing,1,89,62
0.08,0.68,0.13,62380.47531,CW,609850,Level 1+,1,Good Standing,1,85,87
0.65,0.06,0.28,29981.22527,A,609851,Level 1,2,Intensive Support,3,22,28
0.06,0.65,0.21,75018.26458,C,609852,Level 1+,1,Good Standing,1,81,79
0.03,0.5,0.39,79088.28202,C,609853,Level 1+,1,Good Standing,1,63,74
